end_date,t_end,A,B,sigma,r2
2015-07-26 06:00:00.000000000,6.002053,-1.205671,5.238986,0.376643,0.893066
2015-08-25 16:30:00.000000000,6.085387,-1.176926,5.170719,0.380921,0.881839
2015-09-25 03:00:00.000000000,6.168720,-1.117116,5.049001,0.384258,0.868109
2015-10-25 13:29:59.999999936,6.252053,-1.043033,4.908319,0.385079,0.853532
2015-11-24 23:59:59.999999936,6.335387,-1.008027,4.837897,0.387026,0.841206
2015-12-25 10:29:59.999999936,6.418720,-0.952031,4.738158,0.386410,0.828156
2016-01-24 20:59:59.999999936,6.502053,-0.892738,4.635506,0.385392,0.814816
2016-02-24 07:29:59.999999904,6.585387,-0.859764,4.572870,0.386633,0.801471
2016-03-25 17:59:59.999999904,6.668720,-0.816675,4.496918,0.387380,0.787341
2016-04-25 04:29:59.999999904,6.752053,-0.756304,4.395963,0.386885,0.771876
2016-05-25 14:59:59.999999904,6.835387,-0.788737,4.433903,0.385334,0.767758
2016-06-25 01:29:59.999999904,6.918720,-0.902751,4.593767,0.371507,0.785012
2016-07-25 11:59:59.999999872,7.002053,-1.015946,4.750555,0.359039,0.799730
2016-08-24 22:29:59.999999872,7.085387,-1.096693,4.856161,0.351825,0.806346
2016-09-24 08:59:59.999999872,7.168720,-1.131859,4.895081,0.350523,0.803254
2016-10-24 19:29:59.999999872,7.252053,-1.113716,4.859616,0.351749,0.793241
2016-11-24 05:59:59.999999840,7.335387,-1.057869,4.774084,0.351783,0.780701
2016-12-24 16:29:59.999999840,7.418720,-0.994221,4.680142,0.351286,0.767120
2017-01-24 02:59:59.999999840,7.502053,-0.966317,4.637494,0.351377,0.756938
2017-02-23 13:29:59.999999840,7.585387,-0.915966,4.566495,0.350630,0.744667
2017-03-25 23:59:59.999999776,7.668720,-0.847895,4.474564,0.348322,0.732345
2017-04-25 10:29:59.999999776,7.752053,-0.754464,4.349778,0.344164,0.718537
2017-05-25 20:59:59.999999776,7.835387,-0.662752,4.234243,0.338461,0.707215
2017-06-25 07:29:59.999999776,7.918720,-0.578058,4.135171,0.332881,0.696870
2017-07-25 17:59:59.999999776,8.002053,-0.495192,4.037817,0.327534,0.686460
2017-08-25 04:29:59.999999776,8.085387,-0.446512,3.989746,0.326082,0.676181
2017-09-24 14:59:59.999999776,8.168720,-0.389718,3.933611,0.324581,0.664425
2017-10-25 01:29:59.999999776,8.252053,-0.334850,3.882433,0.323199,0.653473
2017-11-24 11:59:59.999999776,8.335387,-0.263922,3.815784,0.321555,0.640372
2017-12-24 22:29:59.999999744,8.418720,-0.236312,3.812201,0.329922,0.620826
2018-01-24 08:59:59.999999744,8.502053,-0.194370,3.790809,0.335545,0.602726
2018-02-23 19:29:59.999999776,8.585387,-0.159432,3.770558,0.338298,0.589069
2018-03-26 05:59:59.999999776,8.668720,-0.182551,3.819819,0.344617,0.579468
