date,years,excess,fit,residual
2010-07-26,1.002053,0.276323,0.515078,-0.238755
2010-07-27,1.004791,0.315149,0.514548,-0.199399
2010-07-28,1.007529,0.303992,0.514014,-0.210023
2010-07-29,1.010267,0.325445,0.513478,-0.188033
2010-07-30,1.013005,0.345279,0.512937,-0.167659
2010-07-31,1.015743,0.317580,0.512394,-0.194814
2010-08-01,1.018480,0.301491,0.511847,-0.210356
2010-08-02,1.021218,0.301592,0.511297,-0.209706
2010-08-03,1.023956,0.294410,0.510744,-0.216334
2010-08-04,1.026694,0.284264,0.510188,-0.225924
2010-08-05,1.029432,0.273498,0.509628,-0.236130
2010-08-06,1.032170,0.281307,0.509066,-0.227758
2010-08-07,1.034908,0.265214,0.508500,-0.243286
2010-08-08,1.037645,0.256204,0.507930,-0.251727
2010-08-09,1.040383,0.283963,0.507358,-0.223395
2010-08-10,1.043121,0.306183,0.506783,-0.200599
2010-08-11,1.045859,0.298874,0.506204,-0.207330
2010-08-12,1.048597,0.281971,0.505622,-0.223652
2010-08-13,1.051335,0.264601,0.505037,-0.240437
2010-08-14,1.054073,0.265159,0.504449,-0.239290
2010-08-15,1.056810,0.254009,0.503858,-0.249850
2010-08-16,1.059548,0.245009,0.503264,-0.258255
2010-08-17,1.062286,0.249150,0.502667,-0.253517
2010-08-18,1.065024,0.260214,0.502067,-0.241852
2010-08-19,1.067762,0.242071,0.501464,-0.259393
2010-08-20,1.070500,0.226819,0.500857,-0.274039
2010-08-21,1.073238,0.218457,0.500248,-0.281791
2010-08-22,1.075975,0.199242,0.499636,-0.300393
2010-08-23,1.078713,0.203339,0.499020,-0.295682
2010-08-24,1.081451,0.202656,0.498402,-0.295746
2010-08-25,1.084189,0.194553,0.497781,-0.303228
2010-08-26,1.086927,0.184551,0.497157,-0.312606
2010-08-27,1.089665,0.177080,0.496530,-0.319450
2010-08-28,1.092402,0.173726,0.495900,-0.322174
2010-08-29,1.095140,0.165991,0.495267,-0.329276
2010-08-30,1.097878,0.151148,0.494631,-0.343483
