lag_months,xcorr_level,xcorr_excess
-24,-0.062721,-0.164543
-23,-0.085480,-0.220895
-22,-0.107912,-0.283796
-21,-0.128314,-0.350484
-20,-0.146432,-0.424291
-19,-0.161136,-0.494698
-18,-0.171483,-0.553810
-17,-0.176872,-0.596652
-16,-0.179479,-0.626777
-15,-0.179596,-0.644804
-14,-0.177107,-0.655927
-13,-0.170402,-0.658755
-12,-0.158826,-0.653236
-11,-0.138844,-0.621861
-10,-0.108357,-0.550936
-9,-0.071333,-0.444041
-8,-0.033054,-0.312666
-7,0.005076,-0.166772
-6,0.040785,-0.019201
-5,0.072809,0.125320
-4,0.100473,0.264263
-3,0.122922,0.389803
-2,0.138418,0.494025
-1,0.147363,0.570195
0,0.147931,0.603310
1,0.157926,0.616890
2,0.162911,0.614588
3,0.164953,0.600325
4,0.165619,0.580402
5,0.162400,0.548854
6,0.154201,0.503767
7,0.140562,0.445096
8,0.123363,0.380058
9,0.105423,0.316389
10,0.087483,0.254846
11,0.071757,0.200864
12,0.057819,0.152931
13,0.045236,0.110895
14,0.032891,0.070375
15,0.019882,0.030895
16,0.006432,-0.008395
17,-0.007558,-0.050131
18,-0.024045,-0.095758
19,-0.043924,-0.140072
20,-0.066317,-0.179191
21,-0.089803,-0.215937
22,-0.112836,-0.251494
23,-0.134142,-0.281490
24,-0.153905,-0.308682
