end_date,t_end,A,B,x_bar,A_center,sigma,r2
2015-07-26 06:00:00.000000000,6.002053,-1.205671,5.238985,0.499708,1.412291,0.376643,0.893066
2015-08-25 16:30:00.000000000,6.085387,-1.176925,5.170719,0.512509,1.473114,0.380921,0.881839
2015-09-25 03:00:00.000000000,6.168720,-1.117116,5.049001,0.524738,1.532285,0.384258,0.868109
2015-10-25 13:29:59.999999936,6.252053,-1.043033,4.908319,0.536651,1.591022,0.385079,0.853532
2015-11-24 23:59:59.999999936,6.335387,-1.008026,4.837896,0.548079,1.643523,0.387026,0.841206
2015-12-25 10:29:59.999999936,6.418720,-0.952031,4.738157,0.559241,1.697741,0.386410,0.828156
2016-01-24 20:59:59.999999936,6.502053,-0.892738,4.635505,0.569850,1.748805,0.385392,0.814816
2016-02-24 07:29:59.999999904,6.585387,-0.859764,4.572871,0.580498,1.794777,0.386633,0.801471
2016-03-25 17:59:59.999999904,6.668720,-0.816675,4.496918,0.590516,1.838828,0.387380,0.787341
2016-04-25 04:29:59.999999904,6.752053,-0.756304,4.395963,0.600397,1.883018,0.386885,0.771876
2016-05-25 14:59:59.999999904,6.835387,-0.788737,4.433902,0.610091,1.916347,0.385334,0.767758
2016-06-25 01:29:59.999999904,6.918720,-0.902751,4.593767,0.619477,1.942984,0.371507,0.785012
2016-07-25 11:59:59.999999872,7.002053,-1.015945,4.750553,0.628699,1.970723,0.359039,0.799730
2016-08-24 22:29:59.999999872,7.085387,-1.096697,4.856167,0.637527,1.999242,0.351825,0.806346
2016-09-24 08:59:59.999999872,7.168720,-1.131860,4.895082,0.646442,2.032524,0.350523,0.803254
2016-10-24 19:29:59.999999872,7.252053,-1.113718,4.859621,0.654877,2.068734,0.351749,0.793241
2016-11-24 05:59:59.999999840,7.335387,-1.057868,4.774082,0.663404,2.109279,0.351783,0.780701
2016-12-24 16:29:59.999999840,7.418720,-0.994221,4.680141,0.671483,2.148415,0.351286,0.767120
2017-01-24 02:59:59.999999840,7.502053,-0.966320,4.637499,0.679506,2.184887,0.351377,0.756938
2017-02-23 13:29:59.999999840,7.585387,-0.915966,4.566495,0.687414,2.223106,0.350630,0.744667
2017-03-25 23:59:59.999999776,7.668720,-0.847895,4.474564,0.695019,2.262010,0.348322,0.732345
2017-04-25 10:29:59.999999776,7.752053,-0.754465,4.349780,0.702726,2.302240,0.344164,0.718537
2017-05-25 20:59:59.999999776,7.835387,-0.662754,4.234245,0.710046,2.343754,0.338461,0.707215
2017-06-25 07:29:59.999999776,7.918720,-0.578058,4.135171,0.717471,2.388806,0.332881,0.696870
2017-07-25 17:59:59.999999776,8.002053,-0.495193,4.037818,0.724527,2.430316,0.327534,0.686460
2017-08-25 04:29:59.999999776,8.085387,-0.446511,3.989744,0.731558,2.472219,0.326082,0.676181
2017-09-24 14:59:59.999999776,8.168720,-0.389718,3.933611,0.738504,2.515269,0.324581,0.664425
2017-10-25 01:29:59.999999776,8.252053,-0.334849,3.882433,0.745298,2.558719,0.323199,0.653473
2017-11-24 11:59:59.999999776,8.335387,-0.263923,3.815786,0.752012,2.605595,0.321555,0.640372
2017-12-24 22:29:59.999999744,8.418720,-0.236311,3.812200,0.758494,2.655220,0.329922,0.620826
2018-01-24 08:59:59.999999744,8.502053,-0.194370,3.790809,0.765085,2.705921,0.335545,0.602726
2018-02-23 19:29:59.999999776,8.585387,-0.159431,3.770557,0.771363,2.749037,0.338298,0.589069
2018-03-26 05:59:59.999999776,8.668720,-0.182551,3.819818,0.777634,2.787868,0.344617,0.579468
2018-04-25 16:29:59.999999712,8.752053,-0.281778,3.954958,0.783838,2.818269,0.349332,0.582380
2018-05-26 02:59:59.999999712,8.835387,-0.386622,4.096816,0.789922,2.849544,0.354493,0.585683
