end_date,t_end,A,B,C1,W1,PHI1,D,C2,W2,PHI2,C3,W3,PHI3,sigma,r2
2019-07-26 06:00:00.000000000,10.002053,-1.102621,4.982717,0.169170,13.672602,-2.664232,0.010000,0.413654,7.479214,1.489746,0.160511,21.348993,-1.603415,0.160845,0.985298
2019-08-25 16:30:00.000000064,10.085387,-1.086107,4.957376,0.165979,13.624220,-2.565240,0.010000,0.161321,21.299303,-1.503092,0.412038,7.522480,1.423508,0.160141,0.984712
2019-09-25 03:00:00.000000064,10.168720,-1.044420,4.894947,0.163068,13.498423,-2.322554,0.010000,0.162233,21.388280,-1.685754,0.406567,7.625235,1.265758,0.157072,0.984479
2019-10-25 13:30:00.000000128,10.252053,-1.016939,4.852176,0.163548,13.459686,-2.269710,0.010000,0.160069,21.443983,-1.820109,0.400900,7.689402,1.171306,0.156418,0.983673
2019-11-25 00:00:00.000000128,10.335387,-1.009991,4.799887,0.146194,5.094141,-2.210003,0.010000,0.428236,8.266944,0.497098,0.142533,21.663600,-2.118373,0.162161,0.981677
2019-12-25 10:30:00.000000128,10.418720,-1.045781,4.879609,0.167810,21.521747,-2.029253,0.010000,0.400926,7.705479,1.136234,0.166833,13.155394,-1.727131,0.154242,0.982556
2020-01-24 21:00:00.000000128,10.502053,-1.033411,4.856984,0.165316,21.492634,-2.001617,0.010000,0.166637,13.118242,-1.685734,0.396490,7.737177,1.096873,0.155973,0.981291
2020-02-24 07:30:00.000000128,10.585387,-0.842092,4.523566,0.170493,3.994218,-0.738885,0.010000,0.444349,8.172479,0.587912,0.144949,21.652855,-2.079342,0.160555,0.979432
2020-03-25 18:00:00.000000192,10.668720,-1.020136,4.824353,0.168228,13.148793,-1.791389,0.010000,0.154536,21.334695,-1.737083,0.390245,7.856985,0.928907,0.158799,0.979071
2020-04-25 04:30:00.000000192,10.752053,-1.010825,4.816081,1.839474,7.439292,1.651011,1.106319,0.231357,11.161179,1.416641,0.131652,30.699164,-2.554608,0.134120,0.984420
2020-05-25 15:00:00.000000256,10.835387,-0.940834,4.732830,3.000000,7.200904,2.033397,1.492147,0.268442,10.794522,2.016703,0.132222,30.872323,-2.935414,0.125134,0.986181
2020-06-25 01:30:00.000000256,10.918720,-1.047649,4.893933,2.999094,10.231411,1.577422,1.037981,1.487243,9.048344,0.552127,1.206451,8.167843,-0.593609,0.152965,0.979264
2020-07-25 12:00:00.000000256,11.002053,-0.978517,4.787656,2.384757,7.239756,1.942979,1.291282,0.247086,10.997632,1.690035,0.128017,30.846590,-2.927106,0.126020,0.985831
2020-08-24 22:30:00.000000256,11.085387,-1.123596,5.000503,1.039209,7.974401,0.203792,0.011726,1.499920,9.181590,1.187577,0.965269,10.164272,2.839441,0.152374,0.979101
2020-09-24 09:00:00.000000256,11.168720,-1.033651,4.858352,1.828647,6.863958,2.493265,1.190599,0.262832,10.485878,2.672285,0.113928,22.603299,2.194254,0.131449,0.984159
2020-10-24 19:30:00.000000320,11.252053,-1.030725,4.855377,1.813151,6.919871,2.408117,1.172652,0.257620,10.536877,2.580289,0.114060,22.621040,2.150690,0.131194,0.983781
2020-11-24 06:00:00.000000320,11.335387,-1.490824,5.496919,1.305964,12.128155,-2.688094,0.031100,1.479890,11.808729,0.931652,0.339667,5.888378,-2.302875,0.149400,0.978253
2020-12-24 16:30:00.000000320,11.418720,-0.917923,4.718437,1.879560,7.982091,0.740329,0.983523,0.117432,23.088080,1.088181,0.152989,11.940125,-0.095017,0.131282,0.982680
2021-01-24 03:00:00.000000320,11.502053,-1.819477,5.878246,0.861987,4.809611,-0.541807,0.545248,0.113832,21.777719,-2.560511,0.330030,10.301234,-3.141592,0.135912,0.981124
2021-02-23 13:30:00.000000448,11.585387,-0.860977,4.606778,1.660341,22.087503,0.576372,1.209364,0.330007,21.517296,-1.774577,0.400052,8.686122,-0.417694,0.161130,0.972944
2021-03-26 00:00:00.000000448,11.668720,-2.731373,7.000000,1.885333,4.098242,0.607091,0.746946,0.332305,10.687109,2.435374,0.114608,21.887200,-2.958887,0.140572,0.979017
2021-04-25 10:30:00.000000448,11.752053,-2.664910,7.000000,0.946028,4.245070,0.461197,0.333503,0.342740,10.833273,2.259640,0.117547,38.100876,0.098766,0.140311,0.978606
2021-05-25 21:00:00.000000448,11.835387,-2.615531,7.000000,0.121255,38.140803,0.007057,0.010000,0.355305,10.686528,2.542598,0.531276,4.136140,0.719027,0.140145,0.978076
2021-06-25 07:30:00.000000448,11.918720,-2.610180,7.000000,0.120558,21.662617,-2.581521,0.010000,0.356053,10.551353,2.728597,0.529802,3.943650,1.068377,0.142181,0.976657
2021-07-25 18:00:00.000000448,12.002053,-2.608231,7.000000,0.540808,3.894139,1.162020,0.010000,0.119757,21.893190,-3.033767,0.357105,10.558521,2.701476,0.142212,0.975874
2021-08-25 04:30:00.000000448,12.085387,-2.612354,7.000000,0.123261,21.752499,-2.738309,0.010000,0.356676,10.505457,2.808384,0.528043,3.925204,1.093878,0.141853,0.975408
