end_date,t_end,B,log_price,log_excess,momentum_6m
2011-07-26 06:00:00.000000016,2.002053,8.990828,1.147895,0.790011,-0.699173
2011-08-25 16:30:00.000000016,2.085387,9.710369,1.004830,0.556940,-0.607796
2011-09-25 03:00:00.000000032,2.168720,9.346887,0.756385,0.222020,-0.180330
2011-10-25 13:30:00.000000032,2.252053,8.072995,0.437887,-0.179694,0.538874
2011-11-25 00:00:00.000000032,2.335387,6.828775,0.610439,-0.087335,0.191566
2011-12-25 10:30:00.000000032,2.418720,5.081360,0.625187,-0.149966,0.349338
2012-01-24 21:00:00.000000032,2.502053,3.486913,0.798309,-0.051602,0.264425
2012-02-24 07:30:00.000000048,2.585387,2.052875,0.700932,-0.221289,0.640201
2012-03-25 18:00:00.000000048,2.668720,0.242117,0.666221,-0.326015,0.824526
2012-04-25 04:30:00.000000064,2.752053,-2.044209,0.707324,-0.352773,0.681177
2012-05-25 15:00:00.000000064,2.835387,-2.770842,0.706222,-0.419713,0.771003
2012-06-25 01:30:00.000000064,2.918720,-1.716231,0.799856,-0.390008,0.640521
2012-07-25 12:00:00.000000064,3.002053,-0.130104,0.930522,-0.321472,0.644069
2012-08-24 22:30:00.000000064,3.085387,1.728727,1.021032,-0.291391,0.897788
2012-09-24 09:00:00.000000080,3.168720,3.126519,1.078484,-0.292758,1.623477
2012-10-24 19:30:00.000000080,3.252053,3.749156,1.047913,-0.380620,2.215464
2012-11-24 06:00:00.000000080,3.335387,3.552344,1.091723,-0.392652,2.043314
2012-12-24 16:30:00.000000080,3.418720,3.385861,1.120117,-0.418721,1.756086
2013-01-24 03:00:00.000000112,3.502053,3.961473,1.252556,-0.339434,1.407121
2013-02-23 13:30:00.000000112,3.585387,4.856804,1.469926,-0.173966,1.153191
2013-03-26 00:00:00.000000112,3.668720,6.271456,1.890222,0.195621,0.421947
2013-04-25 10:30:00.000000112,3.752053,8.452811,2.155645,0.411474,0.207715
2013-05-25 21:00:00.000000112,3.835387,9.975646,2.113380,0.320727,1.570076
2013-06-25 07:30:00.000000112,3.918720,10.848601,1.998160,0.158068,1.643106
2013-07-25 18:00:00.000000112,4.002053,10.979822,1.956117,0.069584,1.896740
2013-08-25 04:30:00.000000128,4.085387,11.316053,2.046521,0.114505,1.421803
2013-09-24 15:00:00.000000112,4.168720,11.511684,2.101195,0.124614,1.313676
2013-10-25 01:30:00.000000112,4.252053,11.251205,2.259502,0.239237,0.810469
2013-11-24 12:00:00.000000112,4.335387,11.481591,2.898418,0.835317,-0.271651
2013-12-24 22:30:00.000000144,4.418720,12.498238,2.819713,0.714593,-0.123835
2014-01-24 09:00:00.000000112,4.502053,12.315583,2.904487,0.758132,-0.259275
2014-02-23 19:30:00.000000128,4.585387,11.580979,2.757423,0.570589,-0.106851
2014-03-26 06:00:00.000000160,4.668720,10.903010,2.758033,0.531451,-0.282767
2014-04-25 16:30:00.000000192,4.752053,11.054211,2.664737,0.399108,-0.231980
2014-05-26 03:00:00.000000160,4.835387,10.669613,2.762593,0.458597,-0.361883
2014-06-25 13:30:00.000000160,4.918720,10.212227,2.757796,0.416088,-0.504110
2014-07-26 00:00:00.000000192,5.002053,8.383917,2.774849,0.396064,-0.770308
2014-08-25 10:30:00.000000224,5.085387,5.802819,2.703997,0.288746,-0.651915
2014-09-24 21:00:00.000000192,5.168720,2.715629,2.616650,0.165526,-0.438899
2014-10-25 07:30:00.000000192,5.252053,-1.396553,2.548747,0.062325,-0.405777
2014-11-24 18:00:00.000000224,5.335387,-3.737454,2.581651,0.060485,-0.412905
