end_date,t_end,A,B,x_bar,A_center,sigma,r2
2017-07-25 18:00:00.000000000,8.002053,-1.019607,4.731178,0.597927,1.809290,0.354561,0.907830
2017-08-25 04:30:00.000000064,8.085387,-1.003416,4.715062,0.608683,1.866563,0.354600,0.902562
2017-09-24 15:00:00.000000064,8.168720,-0.971540,4.678343,0.618753,1.923197,0.352926,0.897282
2017-10-25 01:30:00.000000128,8.252053,-0.933989,4.635662,0.628835,1.981078,0.350756,0.891799
2017-11-24 12:00:00.000000128,8.335387,-0.931221,4.644729,0.638304,2.033527,0.354356,0.885346
2017-12-24 22:30:00.000000128,8.418720,-0.924544,4.654854,0.647703,2.090418,0.362268,0.876031
2018-01-24 09:00:00.000000128,8.502053,-0.920686,4.668558,0.656763,2.145448,0.369497,0.867214
2018-02-23 19:30:00.000000128,8.585387,-0.935538,4.701964,0.665666,2.194401,0.374040,0.860624
2018-03-26 06:00:00.000000192,8.668720,-0.945454,4.727934,0.674270,2.242452,0.377839,0.854311
2018-04-25 16:30:00.000000192,8.752053,-0.941749,4.732421,0.682567,2.288445,0.379444,0.848211
2018-05-26 03:00:00.000000224,8.835387,-1.010318,4.831757,0.690939,2.328132,0.378583,0.848760
2018-06-25 13:30:00.000000224,8.918720,-1.126627,4.988015,0.698857,2.359284,0.366162,0.860069
2018-07-26 00:00:00.000000224,9.002053,-1.240010,5.137793,0.706763,2.391192,0.354306,0.870023
2018-08-25 10:30:00.000000224,9.085387,-1.332539,5.258730,0.714439,2.424501,0.346142,0.876189
2018-09-24 21:00:00.000000256,9.168720,-1.393681,5.337975,0.722014,2.460410,0.342671,0.877471
2018-10-25 07:30:00.000000256,9.252053,-1.415997,5.367197,0.729380,2.498726,0.341957,0.875271
2018-11-24 18:00:00.000000320,9.335387,-1.407669,5.356625,0.736655,2.538314,0.341916,0.870812
2018-12-25 04:30:00.000000320,9.418720,-1.380030,5.317253,0.743738,2.574615,0.342542,0.864818
2019-01-24 15:00:00.000000384,9.502053,-1.373646,5.304030,0.750602,2.607569,0.343324,0.859703
2019-02-24 01:30:00.000000384,9.585387,-1.347726,5.266419,0.757565,2.641928,0.344376,0.853025
2019-03-26 12:00:00.000000448,9.668720,-1.307764,5.212980,0.764183,2.675907,0.344779,0.846004
2019-04-25 22:30:00.000000448,9.752053,-1.259435,5.152108,0.770817,2.711897,0.343944,0.839150
2019-05-26 09:00:00.000000448,9.835387,-1.208326,5.091026,0.777294,2.748898,0.341879,0.833346
2019-06-25 19:30:00.000000448,9.918720,-1.157581,5.033371,0.783705,2.787098,0.339451,0.827663
2019-07-26 06:00:00.000000448,10.002053,-1.118897,4.992287,0.789970,2.824862,0.337693,0.822547
2019-08-25 16:30:00.000000448,10.085387,-1.088473,4.960190,0.796055,2.860109,0.336653,0.817219
2019-09-25 03:00:00.000000512,10.168720,-1.046001,4.913655,0.802243,2.895944,0.334913,0.811427
