end_date,t_end,A,B,sigma,r2
2012-07-25 12:00:00.000000000,3.002053,-1.083884,4.763463,0.387586,0.728834
2012-08-24 22:30:00.000000032,3.085387,-1.013572,4.530287,0.386450,0.690602
2012-09-24 09:00:00.000000032,3.168720,-0.874685,4.126515,0.374771,0.643929
2012-10-24 19:30:00.000000032,3.252053,-0.685117,3.617832,0.352549,0.590123
2012-11-24 06:00:00.000000032,3.335387,-0.552264,3.265329,0.343961,0.532817
2012-12-24 16:30:00.000000048,3.418720,-0.434081,3.000000,0.322902,0.464544
2013-01-24 03:00:00.000000048,3.502053,-0.413123,3.000000,0.302559,0.363534
2013-02-23 13:30:00.000000048,3.585387,-0.396789,3.000000,0.297586,0.284828
2013-03-26 00:00:00.000000048,3.668720,-0.368546,3.000000,0.300801,0.239644
2013-04-25 10:30:00.000000064,3.752053,-0.323818,3.000000,0.323776,0.224756
2013-05-25 21:00:00.000000064,3.835387,-0.306455,3.000000,0.344814,0.328226
2013-06-25 07:30:00.000000064,3.918720,-0.633657,3.710751,0.331486,0.495165
2013-07-25 18:00:00.000000064,4.002053,-1.105056,4.682027,0.294252,0.650526
2013-08-25 04:30:00.000000080,4.085387,-1.554215,5.578879,0.252205,0.772989
2013-09-24 15:00:00.000000080,4.168720,-1.938240,6.328137,0.220377,0.843971
2013-10-25 01:30:00.000000064,4.252053,-2.189089,6.807147,0.204993,0.872924
2013-11-24 12:00:00.000000096,4.335387,-2.280486,7.000000,0.217202,0.870982
2013-12-24 22:30:00.000000112,4.418720,-2.257703,7.000000,0.258580,0.845004
2014-01-24 09:00:00.000000112,4.502053,-2.243288,7.000000,0.281522,0.840181
2014-02-23 19:30:00.000000096,4.585387,-2.228599,7.000000,0.297212,0.834524
2014-03-26 06:00:00.000000128,4.668720,-2.213145,7.000000,0.305395,0.830113
2014-04-25 16:30:00.000000128,4.752053,-2.200711,7.000000,0.306360,0.825799
2014-05-26 03:00:00.000000128,4.835387,-2.187471,7.000000,0.303270,0.821898
2014-06-25 13:30:00.000000128,4.918720,-2.169479,7.000000,0.299484,0.817888
2014-07-26 00:00:00.000000128,5.002053,-2.154628,7.000000,0.294610,0.814202
2014-08-25 10:30:00.000000128,5.085387,-2.147106,7.000000,0.291518,0.807306
2014-09-24 21:00:00.000000128,5.168720,-2.141859,7.000000,0.288076,0.794248
2014-10-25 07:30:00.000000128,5.252053,-2.141551,7.000000,0.287312,0.768953
2014-11-24 18:00:00.000000128,5.335387,-2.137984,7.000000,0.282845,0.731633
2014-12-25 04:30:00.000000160,5.418720,-2.116393,6.966741,0.281897,0.668635
2015-01-24 15:00:00.000000128,5.502053,-1.205471,5.558863,0.279737,0.555948
2015-02-24 01:30:00.000000128,5.585387,-0.302465,4.181045,0.274766,0.414868
2015-03-26 12:00:00.000000160,5.668720,0.403715,3.119699,0.269180,0.283299
2015-04-25 22:30:00.000000160,5.752053,0.473224,3.000000,0.277408,0.178565
2015-05-26 09:00:00.000000160,5.835387,0.462340,3.000000,0.286932,0.050492
2015-06-25 19:30:00.000000160,5.918720,0.453733,3.000000,0.295566,-0.116302
2015-07-26 06:00:00.000000160,6.002053,0.452114,3.000000,0.296817,-0.382642
2015-08-25 16:30:00.000000224,6.085387,0.448445,3.000000,0.301340,-0.764076
2015-09-25 03:00:00.000000224,6.168720,0.437926,3.000000,0.311794,-1.211074
2015-10-25 13:30:00.000000160,6.252053,0.427994,3.000000,0.320989,-1.774270
2015-11-25 00:00:00.000000224,6.335387,0.407352,3.000000,0.321055,-1.911828
2015-12-25 10:30:00.000000224,6.418720,0.374557,3.000000,0.298721,-1.941744
2016-01-24 21:00:00.000000224,6.502053,0.342341,3.000000,0.274327,-1.948652
2016-02-24 07:30:00.000000224,6.585387,0.312132,3.000000,0.252857,-1.931670
2016-03-25 18:00:00.000000224,6.668720,0.285622,3.000000,0.233994,-1.789378
2016-04-25 04:30:00.000000224,6.752053,0.264797,3.000000,0.222364,-1.576350
2016-05-25 15:00:00.000000224,6.835387,0.245300,3.000000,0.210192,-1.316657
2016-06-25 01:30:00.000000224,6.918720,0.226740,3.000000,0.185900,-0.804224
2016-07-25 12:00:00.000000224,7.002053,0.209053,3.000000,0.157217,-0.255855
2016-08-24 22:30:00.000000224,7.085387,0.192618,3.000000,0.130727,0.157598
2016-09-24 09:00:00.000000224,7.168720,0.179459,3.000000,0.109089,0.456797
2016-10-24 19:30:00.000000224,7.252053,0.144725,3.033062,0.097091,0.613388
2016-11-24 06:00:00.000000224,7.335387,-0.324886,3.613880,0.085253,0.740386
2016-12-24 16:30:00.000000256,7.418720,-0.828097,4.230204,0.067545,0.858063
2017-01-24 03:00:00.000000256,7.502053,-1.176039,4.657577,0.061533,0.896121
2017-02-23 13:30:00.000000224,7.585387,-1.448300,4.991026,0.060437,0.908919
2017-03-26 00:00:00.000000256,7.668720,-1.830240,5.454213,0.055933,0.931515
2017-04-25 10:30:00.000000256,7.752053,-2.057914,5.728036,0.053570,0.941020
2017-05-25 21:00:00.000000256,7.835387,-2.430790,6.181331,0.062665,0.929618
2017-06-25 07:30:00.000000256,7.918720,-2.968005,6.834763,0.083381,0.899242
2017-07-25 18:00:00.000000256,8.002053,-3.000000,6.878255,0.090184,0.897312
2017-08-25 04:30:00.000000320,8.085387,-3.000000,6.892556,0.109646,0.871967
2017-09-24 15:00:00.000000256,8.168720,-3.000000,6.913110,0.129122,0.842649
2017-10-25 01:30:00.000000256,8.252053,-3.000000,6.935931,0.147574,0.816871
2017-11-24 12:00:00.000000320,8.335387,-3.000000,6.960362,0.174587,0.783501
2017-12-24 22:30:00.000000320,8.418720,-3.000000,6.995446,0.224883,0.723127
2018-01-24 09:00:00.000000352,8.502053,-2.980818,7.000000,0.260575,0.689110
2018-02-23 19:30:00.000000288,8.585387,-2.956924,7.000000,0.273585,0.678145
2018-03-26 06:00:00.000000288,8.668720,-2.933704,7.000000,0.281577,0.671727
