end_date,t_end,A_sup,B_sup,r2_sup,sigma_sup,n_bubbles,mean_K,max_K
2021-04-25 10:30:00.000000448,11.752053,-1.631453,5.179897,0.749782,0.318619,3,0.858259,1.032314
2021-05-25 21:00:00.000000448,11.835387,-1.639623,5.192246,0.738405,0.319566,3,0.855943,1.033453
2021-06-25 07:30:00.000000448,11.918720,-1.635012,5.190083,0.727523,0.318687,3,0.853169,1.030074
2021-07-25 18:00:00.000000448,12.002053,-1.647351,5.206945,0.716756,0.317819,3,0.851191,1.032813
2021-08-25 04:30:00.000000448,12.085387,-1.647349,5.206941,0.705072,0.318336,3,0.851192,1.032812
2021-09-24 15:00:00.000000448,12.168720,-1.644361,5.202951,0.691340,0.318667,3,0.851592,1.032096
2021-10-25 01:30:00.000000448,12.252053,-1.653683,5.215471,0.678750,0.319160,3,0.850284,1.034290
2021-11-24 12:00:00.000000512,12.335387,-1.643126,5.205554,0.663602,0.318866,3,0.848147,1.029379
2021-12-24 22:30:00.000000512,12.418720,-1.669496,5.239734,0.650415,0.318121,3,0.845496,1.036289
2022-01-24 09:00:00.000000512,12.502053,-1.494368,5.032819,0.626024,0.315107,2,0.779596,0.956281
2022-02-23 19:30:00.000000512,12.585387,-1.618668,5.182253,0.618359,0.314783,2,0.756117,0.920814
2022-03-26 06:00:00.000000640,12.668720,-1.618668,5.182253,0.609086,0.314839,2,0.756117,0.920814
2022-04-25 16:30:00.000000640,12.752053,-1.626144,5.191223,0.611987,0.313370,2,0.754721,0.918698
2022-05-26 03:00:00.000000640,12.835387,-1.671092,5.245607,0.617653,0.312422,2,0.745887,0.905501
2022-06-25 13:30:00.000000640,12.918720,-1.672748,5.247724,0.616931,0.311917,2,0.745450,0.904895
2022-07-26 00:00:00.000000704,13.002053,-1.672742,5.247716,0.610989,0.312535,2,0.745452,0.904897
2022-08-25 10:30:00.000000704,13.085387,-1.671092,5.245607,0.605025,0.313001,2,0.745887,0.905501
2022-09-24 21:00:00.000000704,13.168720,-1.643266,5.211737,0.597303,0.313491,2,0.751557,0.913888
2022-10-25 07:30:00.000000704,13.252053,-1.626144,5.191223,0.591006,0.314231,2,0.754721,0.918698
2022-11-24 18:00:00.000000768,13.335387,-1.673210,5.246713,0.604590,0.311972,2,0.746912,0.906438
2022-12-25 04:30:00.000000768,13.418720,-1.679666,5.252468,0.627057,0.302702,2,0.747677,0.906740
2023-01-24 15:00:00.000000768,13.502053,-1.692826,5.264957,0.647488,0.293732,2,0.748486,0.906547
2023-02-24 01:30:00.000000768,13.585387,-1.780562,5.362669,0.671028,0.285461,2,0.739592,0.889814
2023-03-26 12:00:00.000000832,13.668720,-1.963689,5.575365,0.705434,0.278958,2,0.712377,0.845535
2023-04-25 22:30:00.000000832,13.752053,-1.986862,5.600171,0.716868,0.274343,2,0.711018,0.842186
2023-05-26 09:00:00.000000832,13.835387,-2.017063,5.631602,0.726500,0.270445,2,0.710138,0.838784
2023-06-25 19:30:00.000000832,13.918720,-2.045842,5.661782,0.739495,0.264757,2,0.709070,0.835295
2023-07-26 06:00:00.000000832,14.002053,-2.082929,5.701479,0.753219,0.258805,2,0.706899,0.829939
2023-08-25 16:30:00.000000960,14.085387,-2.097796,5.715931,0.761769,0.254883,2,0.707475,0.829355
2023-09-25 03:00:00.000000960,14.168720,-2.102385,5.717862,0.765329,0.253190,2,0.710154,0.831879
2023-10-25 13:30:00.000000960,14.252053,-2.097180,5.709511,0.765010,0.253128,2,0.713207,0.835603
2023-11-25 00:00:00.000000960,14.335387,-2.121033,5.734238,0.767235,0.252465,2,0.712607,0.833019
2023-12-25 10:30:00.000001088,14.418720,-2.133287,5.746192,0.767787,0.251910,2,0.713039,0.832491
2024-01-24 21:00:00.000001088,14.502053,-2.129825,5.742857,0.765369,0.252173,2,0.712875,0.832596
2024-02-24 07:30:00.000001088,14.585387,-2.119643,5.732575,0.760907,0.252563,2,0.712862,0.833407
2024-03-25 18:00:00.000001088,14.668720,-2.121033,5.734238,0.757387,0.252557,2,0.712607,0.833019
2024-04-25 04:30:00.000001088,14.752053,-2.114472,5.727619,0.751935,0.252390,2,0.712592,0.833535
2024-05-25 15:00:00.000001088,14.835387,-2.094437,5.706362,0.743849,0.252206,2,0.713578,0.836227
2024-06-25 01:30:00.000001088,14.918720,-2.081658,5.692829,0.735679,0.251646,2,0.714183,0.837917
2024-07-25 12:00:00.000001088,15.002053,-2.058598,5.668331,0.726237,0.251422,2,0.715349,0.841049
2024-08-24 22:30:00.000001152,15.085387,-2.045998,5.655507,0.717222,0.250748,2,0.715431,0.842160
2024-09-24 09:00:00.000001152,15.168720,-2.012295,5.623087,0.707085,0.249267,2,0.713790,0.843119
2024-10-24 19:30:00.000001152,15.252053,-1.974983,5.588265,0.698082,0.247577,2,0.710914,0.843037
2024-11-24 06:00:00.000001152,15.335387,-1.969993,5.582688,0.686938,0.246600,2,0.711440,0.844010
2024-12-24 16:30:00.000001280,15.418720,-1.967232,5.579480,0.677056,0.246066,2,0.711851,0.844678
2025-01-24 03:00:00.000001280,15.502053,-1.964568,5.576498,0.666607,0.245301,3,0.598153,0.845203
2025-02-23 13:30:00.000001280,15.585387,-1.962035,5.575671,0.656396,0.244021,3,0.596492,0.843554
2025-03-26 00:00:00.000001280,15.668720,-1.934262,5.549489,0.644906,0.242413,3,0.596344,0.843774
2025-04-25 10:30:00.000001280,15.752053,-1.893656,5.512861,0.634296,0.240401,3,0.594384,0.842329
2025-05-25 21:00:00.000001344,15.835387,-1.762472,5.395994,0.635066,0.237511,3,0.586507,0.836094
2025-06-25 07:30:00.000001344,15.918720,-1.757816,5.392842,0.623952,0.236266,3,0.585177,0.834808
2025-07-25 18:00:00.000001344,16.002053,-1.788410,5.423335,0.612569,0.235517,3,0.583597,0.832800
2025-08-25 04:30:00.000001344,16.085387,-1.745719,5.387056,0.605002,0.233237,3,0.579185,0.828898
2025-09-24 15:00:00.000001472,16.168720,-1.670342,5.320995,0.597604,0.230055,3,0.573510,0.824151
2025-10-25 01:30:00.000001472,16.252053,-1.607638,5.266146,0.588254,0.226604,3,0.568677,0.820088
2025-11-24 12:00:00.000001472,16.335387,-1.573806,5.239030,0.577997,0.223722,3,0.563455,0.815248
2025-12-24 22:30:00.000001472,16.418720,-1.516351,5.189217,0.567121,0.220610,3,0.558558,0.811050
2026-01-24 09:00:00.000001472,16.502053,-1.451887,5.130086,0.550197,0.217605,2,0.598704,0.809807
2026-02-23 19:30:00.000001536,16.585387,-1.380411,5.064244,0.531353,0.215183,2,0.601518,0.808727
2026-03-26 06:00:00.000001472,16.668720,-1.283787,4.978459,0.519644,0.212708,2,0.601686,0.803821
