end_date,t_end,A_sup,B_sup,r2_sup,sigma_sup,n_bubbles,mean_K,max_K
2019-07-26 06:00:00.000000000,10.002053,-1.563610,5.085731,0.850420,0.350262,3,1.096809,1.648271
2019-08-25 16:30:00.000000064,10.085387,-1.556594,5.074923,0.842047,0.350163,3,1.096100,1.644200
2019-09-25 03:00:00.000000064,10.168720,-1.557367,5.076020,0.832166,0.349078,3,1.096232,1.644674
2019-10-25 13:30:00.000000128,10.252053,-1.545206,5.061877,0.822490,0.347304,3,1.092324,1.636367
2019-11-25 00:00:00.000000128,10.335387,-1.543380,5.058981,0.814583,0.347161,3,1.092188,1.635329
2019-12-25 10:30:00.000000128,10.418720,-1.530474,5.041493,0.805065,0.346587,3,1.089487,1.627188
2020-01-24 21:00:00.000000128,10.502053,-1.518965,5.027367,0.796165,0.346007,2,0.819565,1.006669
2020-02-24 07:30:00.000000128,10.585387,-1.518965,5.027367,0.789235,0.345755,2,0.819565,1.006669
2020-03-25 18:00:00.000000192,10.668720,-1.512880,5.019616,0.781826,0.346004,2,0.819209,1.004997
2020-04-25 04:30:00.000000192,10.752053,-1.484552,4.984764,0.774777,0.345588,2,0.816637,0.996512
2020-05-25 15:00:00.000000256,10.835387,-1.523219,5.032553,0.774532,0.342412,2,0.819987,1.007970
2020-06-25 01:30:00.000000256,10.918720,-1.556152,5.077154,0.788082,0.329859,2,0.819959,1.015510
2020-07-25 12:00:00.000000256,11.002053,-1.586153,5.116735,0.799109,0.319122,2,0.820708,1.022976
2020-08-24 22:30:00.000000256,11.085387,-1.611457,5.150697,0.806140,0.312169,2,0.820914,1.028944
2020-09-24 09:00:00.000000256,11.168720,-1.616131,5.157844,0.807437,0.309633,2,0.820306,1.029549
2020-10-24 19:30:00.000000320,11.252053,-1.616136,5.157852,0.803259,0.309354,2,0.820305,1.029549
2020-11-24 06:00:00.000000320,11.335387,-1.615736,5.157321,0.795758,0.309094,2,0.820297,1.029451
2020-12-24 16:30:00.000000320,11.418720,-1.614417,5.155256,0.787443,0.308990,2,0.820504,1.029308
2021-01-24 03:00:00.000000320,11.502053,-1.616594,5.158470,0.781098,0.310597,3,0.799803,1.029655
2021-02-23 13:30:00.000000448,11.585387,-1.624517,5.169547,0.772600,0.313028,3,0.847257,1.031271
2021-03-26 00:00:00.000000448,11.668720,-1.628195,5.175316,0.762293,0.316019,3,0.846047,1.031664
