date,years,log_price,fit,residual
2010-07-26,1.002053,-1.278528,2.416755,-3.695283
2010-07-27,1.004791,-1.233629,2.408785,-3.642414
2010-07-28,1.007529,-1.238730,2.400817,-3.639547
2010-07-29,1.010267,-1.211237,2.392849,-3.604087
2010-07-30,1.013005,-1.185380,2.384883,-3.570263
2010-07-31,1.015743,-1.207071,2.376919,-3.583990
2010-08-01,1.018480,-1.217169,2.368956,-3.586125
2010-08-02,1.021218,-1.211094,2.360995,-3.572089
2010-08-03,1.023956,-1.212316,2.353036,-3.565352
2010-08-04,1.026694,-1.216520,2.345078,-3.561598
2010-08-05,1.029432,-1.221358,2.337123,-3.558481
2010-08-06,1.032170,-1.207637,2.329169,-3.536807
2010-08-07,1.034908,-1.217835,2.321218,-3.539053
2010-08-08,1.037645,-1.220965,2.313269,-3.534234
2010-08-09,1.040383,-1.187341,2.305322,-3.492663
2010-08-10,1.043121,-1.159271,2.297377,-3.456648
2010-08-11,1.045859,-1.160747,2.289435,-3.450181
2010-08-12,1.048597,-1.171832,2.281495,-3.453327
2010-08-13,1.051335,-1.183398,2.273558,-3.456956
2010-08-14,1.054073,-1.177051,2.265623,-3.442674
2010-08-15,1.056810,-1.182428,2.257692,-3.440120
2010-08-16,1.059548,-1.185669,2.249763,-3.435432
2010-08-17,1.062286,-1.175784,2.241837,-3.417622
2010-08-18,1.065024,-1.158991,2.233914,-3.392906
2010-08-19,1.067762,-1.171421,2.225995,-3.397415
2010-08-20,1.070500,-1.180973,2.218078,-3.399051
2010-08-21,1.073238,-1.183650,2.210165,-3.393815
2010-08-22,1.075975,-1.197194,2.202255,-3.399449
2010-08-23,1.078713,-1.187442,2.194348,-3.381790
2010-08-24,1.081451,-1.182483,2.186445,-3.368928
2010-08-25,1.084189,-1.184958,2.178546,-3.363504
2010-08-26,1.086927,-1.189348,2.170650,-3.359997
2010-08-27,1.089665,-1.191219,2.162758,-3.353977
2010-08-28,1.092402,-1.188988,2.154870,-3.343858
