end_date,t_end,A,B,C1,W1,PHI1,D,C2,W2,PHI2,C3,W3,PHI3,C4,W4,PHI4,sigma,r2
2019-07-26 06:00:00.000000000,10.002053,-1.114477,5.008229,0.126247,29.904870,-1.253290,0.010000,0.424415,7.480305,1.489558,0.147586,21.480390,-1.779852,0.158239,13.740905,-2.726279,0.136053,0.989481
2019-08-25 16:30:00.000000064,10.085387,-1.087853,4.966140,0.127924,29.912742,-1.262323,0.010000,0.154227,13.659657,-2.574129,0.420491,7.545294,1.389344,0.148664,21.374616,-1.582426,0.134443,0.989224
2019-09-25 03:00:00.000000064,10.168720,-1.050229,4.907325,0.123212,30.030392,-1.483926,0.010000,0.152999,13.520901,-2.332284,0.150288,21.408932,-1.681210,0.413137,7.632063,1.256237,0.132745,0.988914
2019-10-25 13:30:00.000000128,10.252053,-1.026249,4.867231,0.156756,13.460893,-2.257952,0.010000,0.405591,7.683311,1.183310,0.149276,21.409616,-1.724884,0.114944,30.007222,-1.443252,0.134613,0.987907
2019-11-25 00:00:00.000000128,10.335387,-1.063929,4.915842,0.593422,7.646771,1.240823,0.247318,0.103913,30.195603,-1.727367,0.142991,13.149812,-1.800741,0.150029,21.373982,-1.721348,0.129729,0.988274
2019-12-25 10:30:00.000000128,10.418720,-0.800056,4.446226,0.183027,3.742546,-0.344670,0.010000,0.115638,12.829569,-1.577689,0.125759,30.168305,-1.498431,0.433300,8.172115,0.553862,0.146789,0.984201
2020-01-24 21:00:00.000000128,10.502053,-1.124139,4.977233,0.887360,7.756580,1.057496,0.519547,0.135428,21.490235,-2.032513,0.153960,12.507890,-0.779399,0.101834,30.111004,-1.440261,0.125431,0.987901
2020-02-24 07:30:00.000000128,10.585387,-1.158932,5.052606,2.308166,11.541732,-1.056567,1.904234,0.133907,21.669986,-2.295865,0.337049,7.051259,1.912367,0.328381,10.585899,3.141593,0.137262,0.984967
2020-03-25 18:00:00.000000192,10.668720,-1.133158,4.998016,1.832628,13.088612,-2.007023,2.000000,0.360531,9.095346,-0.804555,0.127240,21.573569,-2.018572,0.201570,6.111278,3.134663,0.134561,0.984972
2020-04-25 04:30:00.000000192,10.752053,-1.096541,4.948520,3.000000,10.053863,-0.032534,1.662742,0.133096,30.707472,-2.563498,0.507028,10.283539,3.141593,0.247454,6.535600,2.482528,0.129182,0.985546
2020-05-25 15:00:00.000000256,10.835387,-0.462064,4.023288,0.413650,4.511677,-2.387125,0.021333,0.181097,11.392154,1.216205,0.119203,22.131545,-3.141593,0.564621,6.711081,3.032420,0.132765,0.984445
2020-06-25 01:30:00.000000256,10.918720,-1.059982,4.888928,2.201106,11.727455,-0.534570,2.000000,0.426717,9.068158,-0.691741,0.200340,5.971520,-3.141593,0.132048,30.783625,-2.805707,0.125696,0.985998
2020-07-25 12:00:00.000000256,11.002053,-0.978291,4.785178,2.418019,7.138600,2.108144,1.345409,0.254212,10.671860,2.261549,0.117784,31.022389,3.141593,0.104559,22.200649,2.908439,0.104630,0.990233
2020-08-24 22:30:00.000000256,11.085387,-1.409418,5.336319,0.281659,31.335719,2.533986,0.548255,0.389816,9.172859,-1.124860,0.123240,22.752409,1.816633,0.210467,4.384295,-0.131301,0.113709,0.988362
