t0_date,weighting,n_samples,beta_ols,beta_qr,alpha_ols,r2_var,r2_fixed,sigma_var,sigma_fixed
2007-01-01,log_density,5747,7.659829846866194,7.761604036968066,-4.6226406818410455,0.9635352065081632,0.9063965820300266,0.35057115705774217,0.24823813501993075
2007-01-01,unweighted,5747,7.560196292449214,7.642713426015263,-4.460508360751283,0.9498333676178264,0.9078760647681918,0.34467570510572637,0.2462685122302021
2007-01-01,1_over_t,5747,7.950154797081892,7.892144238987015,-4.8374006948981005,0.9470614560090461,0.8893036966267205,0.3537820996819533,0.2699536507807
2007-01-08,log_density,5747,7.640307286660399,7.739616510522282,-4.595523287010862,0.9636688905456822,0.9066044642069592,0.3500948700277974,0.2479623279572918
2007-01-08,unweighted,5747,7.543517553746002,7.603385138628482,-4.436786902036216,0.9499442281662609,0.9079901731318072,0.3442946543024634,0.2461159459937037
2007-01-08,1_over_t,5747,7.932065721484592,7.888403008019623,-4.811870927314866,0.9471841917626628,0.8894998305117203,0.35338937505720197,0.2697143901611343
2007-01-15,log_density,5747,7.621004034683117,7.729566579104834,-4.568703219323597,0.9638006874027459,0.9068041087856307,0.3496308451491884,0.24769716101005382
2007-01-15,unweighted,5747,7.526823648931347,7.597927243430988,-4.413062288210113,0.950055287235149,0.9081037631165615,0.3439124978089718,0.24596397885528476
2007-01-15,1_over_t,5747,7.913951864346609,7.857692621341499,-4.786330220146428,0.9473073140176042,0.8896962809191701,0.3529950696745543,0.2694745304720706
2007-01-22,log_density,5747,7.6016712113870675,7.713716800689056,-4.541934322258717,0.9639258394568562,0.9069975823725245,0.3491773265683398,0.24743991921938174
2007-01-22,unweighted,5747,7.510114431356186,7.574051595444132,-4.389334414983099,0.9501665432495368,0.9082168223396501,0.3435292373637102,0.24581262850781657
2007-01-22,1_over_t,5747,7.8958129673745985,7.839906695744119,-4.760778397005398,0.9474308240452378,0.8898930436966812,0.35259917681849745,0.2692340751891028
2007-01-29,log_density,5747,7.582045796592373,7.694977925143654,-4.514921566443669,0.9640452571503288,0.9071893982282961,0.348726613169609,0.24718461726493665
2007-01-29,unweighted,5747,7.4933897522465145,7.577999917219323,-4.365603176385052,0.9502779945710254,0.9083293381802603,0.3431448749211632,0.24566191300212445
2007-01-29,1_over_t,5747,7.877648768272706,7.836560546736791,-4.735215278773136,0.9475547231057919,0.8900901145245425,0.35220168984812744,0.2689930280010328
2007-02-05,log_density,5747,7.561444196595206,7.682015202038144,-4.487150439070795,0.9641486439554633,0.9073725257554045,0.3483022378580147,0.2469406329679609
2007-02-05,unweighted,5747,7.476649460661248,7.589835083916583,-4.341868464731474,0.9503896394958942,0.908441297774339,0.3427594126595959,0.24551185075464618
2007-02-05,1_over_t,5747,7.859459000658801,7.816099653802183,-4.709640683544426,0.9476790124476643,0.8902874889099486,0.3518026022028924,0.26875139281797505
2007-02-12,log_density,5747,7.5404641005630095,7.6611382899971545,-4.459102491037729,0.9642470899634362,0.9075497643847612,0.3478894982544577,0.24670426478188398
2007-02-12,unweighted,5747,7.459893403449274,7.54201586013685,-4.318130170588561,0.950501476253164,0.9085526880092004,0.3423728529890784,0.24536246055530597
2007-02-12,1_over_t,5747,7.841243393978898,7.79896693902861,-4.684054426571221,0.9478036933067039,0.8904851621810075,0.3514019074086192,0.2685091737797821
2007-02-19,log_density,5747,7.519517037798297,7.638986841183396,-4.431117738379877,0.9643434109858711,0.9077228801881538,0.3474794940403782,0.2464731760310346
2007-02-19,unweighted,5747,7.443121425205526,7.510642801052768,-4.2943881827376,0.9506135030025985,0.9086634955179973,0.34198519855978804,0.2452137615755696
2007-02-19,1_over_t,5747,7.82300167341854,7.7858182360271115,-4.658456320204302,0.9479287669054642,0.8906831294805857,0.35099959908378436,0.2682663752647212
2007-02-26,log_density,5747,7.498516461862765,7.635610104573075,-4.403138806672599,0.9644368386951363,0.9078902032294183,0.34707662932682276,0.2462496138222855
2007-02-26,unweighted,5747,7.426333368225683,7.4953439643295,-4.2706423881380005,0.9507257178326419,0.9087737066740367,0.34159645227060315,0.24506577337671037
2007-02-26,1_over_t,5747,7.804733559812735,7.769496521627751,-4.632846173834387,0.9480542344524273,0.8908813857598763,0.3505956709461176,0.2680230018985463
2007-03-05,log_density,5747,7.477534473144789,7.608288676303964,-4.375231503639392,0.9645273088885035,0.9080515398327871,0.34668040653794513,0.24603385778997808
2007-03-05,unweighted,5747,7.409529072459856,7.5015161294310815,-4.2468926718898015,0.9508381187582902,0.9088833075849609,0.34120661727799556,0.24491851591825203
2007-03-05,1_over_t,5747,7.78643876955227,7.747570016641223,-4.607223793830387,0.9481800971411964,0.891079925771751,0.3501901168194702,0.26777905856389167
2007-03-12,log_density,5747,7.456585880965069,7.583641914616095,-4.347412801489826,0.9646149015952938,0.9082065010547227,0.34629134061085526,0.24582644929132041
2007-03-12,unweighted,5747,7.392708375464872,7.492835278601525,-4.223138917194959,0.9509507037188931,0.908992284086776,0.34081569700523634,0.24477200956661627
2007-03-12,1_over_t,5747,7.7681170144886345,7.739691112068275,-4.581588983477354,0.9483063561496577,0.8912787440638252,0.3497829306410485,0.2675345504100773
2007-03-19,log_density,5747,7.436154922634296,7.572399010883522,-4.32011840894323,0.9646982408130604,0.9083562868423254,0.34590400115422887,0.24562580141331514
2007-03-19,unweighted,5747,7.3758711123557825,7.4556274947215115,-4.19938100531771,0.9510634705758855,0.9091006217376768,0.3404236951519244,0.24462627510403814
2007-03-19,1_over_t,5747,7.749768001835616,7.6962866830952805,-4.555941542911978,0.9484330126391072,0.8914778349712741,0.3493741064689578,0.2672894828632814
2007-03-26,log_density,5747,7.41575316506746,7.541896537613283,-4.292906323829705,0.9647781814441085,0.9085001744522787,0.3455232091351312,0.24543290005762358
2007-03-26,unweighted,5747,7.359017115755677,7.459039036623949,-4.1756188155439204,0.9511764171104443,0.9092083058117517,0.3400306157038511,0.24448133373764105
2007-03-26,1_over_t,5747,7.731391434068753,7.701815190359909,-4.53028126905681,0.9485600677533438,0.8916771926093003,0.34896363849013384,0.26704386163720795
2007-04-02,log_density,5747,7.395377003326743,7.532914720703086,-4.265744518063191,0.9648559597165158,0.9086404165535696,0.34514401996703165,0.2452447400012288
2007-04-02,unweighted,5747,7.342146215744141,7.4490856179597245,-4.151852225139132,0.9512895410210692,0.9093153212925009,0.3396364629432142,0.244337207108756
2007-04-02,1_over_t,5747,7.712987008821267,7.6751632973024755,-4.504607955552292,0.9486875226177264,0.8918768108654267,0.34855152102859455,0.2667976927440341
2007-04-09,log_density,5747,7.374729064489595,7.509658005979787,-4.23835341790344,0.9649327900557565,0.9087767223222505,0.3447679456702752,0.24506172279961017
2007-04-09,unweighted,5747,7.325258239804992,7.421769262506388,-4.128081109306001,0.9514028399210832,0.9094216528661538,0.33924124145919266,0.24419391730250664
2007-04-09,1_over_t,5747,7.69455441877777,7.655720799199031,-4.478921392687492,0.9488153783381923,0.8920766833914064,0.34813774855411833,0.2665509825059005
2007-04-16,log_density,5747,7.353719490419479,7.487290193913083,-4.210676984596335,0.965007575710288,0.9089060312513126,0.3444007782494383,0.2448879737995269
2007-04-16,unweighted,5747,7.308353012771636,7.391277184469516,-4.104305341139869,0.9515163113360515,0.9095272849148426,0.33884495615889854,0.2440514868575781
2007-04-16,1_over_t,5747,7.676093351564795,7.634358764683046,-4.453221367328615,0.9489436360002372,0.8922768035947816,0.34772231569132966,0.26630373756690695
2007-04-23,log_density,5747,7.332831862489317,7.480275743168022,-4.183108076499517,0.9650816950087231,0.9090339663890713,0.3440292026031731,0.24471594932333027
2007-04-23,unweighted,5747,7.291430356771886,7.386299956944434,-4.080524791583973,0.9516299527011143,0.909632201509562,0.3384476122787186,0.24390993877626707
2007-04-23,1_over_t,5747,7.657603489637942,7.6213745542859765,-4.4275076628456205,0.9490722966678533,0.8924771646302144,0.3473052172291767,0.26605596490546457
2007-04-30,log_density,5747,7.312209314440629,7.462992077856448,-4.155725718601447,0.9651577560530912,0.9091661555817147,0.3436422502320862,0.24453807763257315
2007-04-30,unweighted,5747,7.274490091170848,7.362923390128543,-4.056739329382635,0.9517437613582305,0.9097363864029127,0.33804921539606203,0.2437692965348132
2007-04-30,1_over_t,5747,7.639084510166461,7.598872440726652,-4.4017800590370415,0.9492013613824252,0.8926777593903187,0.3468864481309091,0.26580767184734455
2007-05-07,log_density,5747,7.291672505570586,7.436382449857263,-4.128424051636553,0.9652320621173913,0.9092970804009921,0.34325190730093913,0.24436177964101158
2007-05-07,unweighted,5747,7.257532032512147,7.3464279051535435,-4.032948821033737,0.9518577345533302,0.9098398230216985,0.33764977144152813,0.24362958409391508
2007-05-07,1_over_t,5747,7.62053608491413,7.577808572695359,-4.37603833205264,0.9493308311615807,0.8928785804962285,0.3464660035444874,0.2655588660791322
2007-05-14,log_density,5747,7.271235888898146,7.4263774017611865,-4.10121699844714,0.9653035498143002,0.909426921501494,0.3428580424387731,0.24418681523312338
2007-05-14,unweighted,5747,7.240555994458004,7.353457212949685,-4.00915313073982,0.9519718694333708,0.9099424944592653,0.33724928671151333,0.2434908259095842
2007-05-14,1_over_t,5747,7.601957880116359,7.553609337315436,-4.350282254313698,0.9494607069979958,0.8930796202878392,0.34604387881345955,0.26530955566217423
2007-05-21,log_density,5747,7.879799066044461,7.858843970815261,-4.771397483227853,0.9743932541613519,0.8947578322444063,0.3864061284618927,0.26321918406798384
2007-05-21,unweighted,5747,7.223561787727369,7.3277556200437175,-3.9853521203575064,0.9520861630432933,0.9100443834676232,0.3368477678812715,0.24335304694427384
