t0_date,weighting,n_fit,n_holdout,beta_ols,beta_qr,alpha_ols,r2_fit,r2_holdout,sigma_fit,sigma_holdout
2007-01-01,log_density,5747,0,7.659829846866194,7.761604036968066,-4.6226406818410455,0.9635352065081632,,0.35057115705774217,
2007-01-01,unweighted,5747,0,7.560196292449214,7.642713426015263,-4.460508360751283,0.9498333676178264,,0.34467570510572637,
2007-01-01,1_over_t,5747,0,7.950154797081892,7.892144238987015,-4.8374006948981005,0.9470614560090461,,0.3537820996819533,
2007-01-08,log_density,5747,0,7.640307286660399,7.739616510522282,-4.595523287010862,0.9636688905456822,,0.3500948700277974,
2007-01-08,unweighted,5747,0,7.543517553746002,7.603385138628482,-4.436786902036216,0.9499442281662609,,0.3442946543024634,
2007-01-08,1_over_t,5747,0,7.932065721484592,7.888403008019623,-4.811870927314866,0.9471841917626628,,0.35338937505720197,
2007-01-15,log_density,5747,0,7.621004034683117,7.729566579104834,-4.568703219323597,0.9638006874027459,,0.3496308451491884,
2007-01-15,unweighted,5747,0,7.526823648931347,7.597927243430988,-4.413062288210113,0.950055287235149,,0.3439124978089718,
2007-01-15,1_over_t,5747,0,7.913951864346609,7.857692621341499,-4.786330220146428,0.9473073140176042,,0.3529950696745543,
2007-01-22,log_density,5747,0,7.6016712113870675,7.713716800689056,-4.541934322258717,0.9639258394568562,,0.3491773265683398,
2007-01-22,unweighted,5747,0,7.510114431356186,7.574051595444132,-4.389334414983099,0.9501665432495368,,0.3435292373637102,
2007-01-22,1_over_t,5747,0,7.8958129673745985,7.839906695744119,-4.760778397005398,0.9474308240452378,,0.35259917681849745,
2007-01-29,log_density,5747,0,7.582045796592373,7.694977925143654,-4.514921566443669,0.9640452571503288,,0.348726613169609,
2007-01-29,unweighted,5747,0,7.4933897522465145,7.577999917219323,-4.365603176385052,0.9502779945710254,,0.3431448749211632,
2007-01-29,1_over_t,5747,0,7.877648768272706,7.836560546736791,-4.735215278773136,0.9475547231057919,,0.35220168984812744,
2007-02-05,log_density,5747,0,7.561444196595206,7.682015202038144,-4.487150439070795,0.9641486439554633,,0.3483022378580147,
2007-02-05,unweighted,5747,0,7.476649460661248,7.589835083916583,-4.341868464731474,0.9503896394958942,,0.3427594126595959,
2007-02-05,1_over_t,5747,0,7.859459000658801,7.816099653802183,-4.709640683544426,0.9476790124476643,,0.3518026022028924,
2007-02-12,log_density,5747,0,7.5404641005630095,7.6611382899971545,-4.459102491037729,0.9642470899634362,,0.3478894982544577,
2007-02-12,unweighted,5747,0,7.459893403449274,7.54201586013685,-4.318130170588561,0.950501476253164,,0.3423728529890784,
2007-02-12,1_over_t,5747,0,7.841243393978898,7.79896693902861,-4.684054426571221,0.9478036933067039,,0.3514019074086192,
2007-02-19,log_density,5747,0,7.519517037798297,7.638986841183396,-4.431117738379877,0.9643434109858711,,0.3474794940403782,
2007-02-19,unweighted,5747,0,7.443121425205526,7.510642801052768,-4.2943881827376,0.9506135030025985,,0.34198519855978804,
2007-02-19,1_over_t,5747,0,7.82300167341854,7.7858182360271115,-4.658456320204302,0.9479287669054642,,0.35099959908378436,
2007-02-26,log_density,5747,0,7.498516461862765,7.635610104573075,-4.403138806672599,0.9644368386951363,,0.34707662932682276,
2007-02-26,unweighted,5747,0,7.426333368225683,7.4953439643295,-4.2706423881380005,0.9507257178326419,,0.34159645227060315,
2007-02-26,1_over_t,5747,0,7.804733559812735,7.769496521627751,-4.632846173834387,0.9480542344524273,,0.3505956709461176,
2007-03-05,log_density,5747,0,7.477534473144789,7.608288676303964,-4.375231503639392,0.9645273088885035,,0.34668040653794513,
2007-03-05,unweighted,5747,0,7.409529072459856,7.5015161294310815,-4.2468926718898015,0.9508381187582902,,0.34120661727799556,
2007-03-05,1_over_t,5747,0,7.78643876955227,7.747570016641223,-4.607223793830387,0.9481800971411964,,0.3501901168194702,
2007-03-12,log_density,5747,0,7.456585880965069,7.583641914616095,-4.347412801489826,0.9646149015952938,,0.34629134061085526,
2007-03-12,unweighted,5747,0,7.392708375464872,7.492835278601525,-4.223138917194959,0.9509507037188931,,0.34081569700523634,
2007-03-12,1_over_t,5747,0,7.7681170144886345,7.739691112068275,-4.581588983477354,0.9483063561496577,,0.3497829306410485,
2007-03-19,log_density,5747,0,7.436154922634296,7.572399010883522,-4.32011840894323,0.9646982408130604,,0.34590400115422887,
2007-03-19,unweighted,5747,0,7.3758711123557825,7.4556274947215115,-4.19938100531771,0.9510634705758855,,0.3404236951519244,
2007-03-19,1_over_t,5747,0,7.749768001835616,7.6962866830952805,-4.555941542911978,0.9484330126391072,,0.3493741064689578,
2007-03-26,log_density,5747,0,7.41575316506746,7.541896537613283,-4.292906323829705,0.9647781814441085,,0.3455232091351312,
2007-03-26,unweighted,5747,0,7.359017115755677,7.459039036623949,-4.1756188155439204,0.9511764171104443,,0.3400306157038511,
2007-03-26,1_over_t,5747,0,7.731391434068753,7.701815190359909,-4.53028126905681,0.9485600677533438,,0.34896363849013384,
2007-04-02,log_density,5747,0,7.395377003326743,7.532914720703086,-4.265744518063191,0.9648559597165158,,0.34514401996703165,
2007-04-02,unweighted,5747,0,7.342146215744141,7.4490856179597245,-4.151852225139132,0.9512895410210692,,0.3396364629432142,
2007-04-02,1_over_t,5747,0,7.712987008821267,7.6751632973024755,-4.504607955552292,0.9486875226177264,,0.34855152102859455,
2007-04-09,log_density,5747,0,7.374729064489595,7.509658005979787,-4.23835341790344,0.9649327900557565,,0.3447679456702752,
2007-04-09,unweighted,5747,0,7.325258239804992,7.421769262506388,-4.128081109306001,0.9514028399210832,,0.33924124145919266,
2007-04-09,1_over_t,5747,0,7.69455441877777,7.655720799199031,-4.478921392687492,0.9488153783381923,,0.34813774855411833,
2007-04-16,log_density,5747,0,7.353719490419479,7.487290193913083,-4.210676984596335,0.965007575710288,,0.3444007782494383,
2007-04-16,unweighted,5747,0,7.308353012771636,7.391277184469516,-4.104305341139869,0.9515163113360515,,0.33884495615889854,
2007-04-16,1_over_t,5747,0,7.676093351564795,7.634358764683046,-4.453221367328615,0.9489436360002372,,0.34772231569132966,
2007-04-23,log_density,5747,0,7.332831862489317,7.480275743168022,-4.183108076499517,0.9650816950087231,,0.3440292026031731,
2007-04-23,unweighted,5747,0,7.291430356771886,7.386299956944434,-4.080524791583973,0.9516299527011143,,0.3384476122787186,
2007-04-23,1_over_t,5747,0,7.657603489637942,7.6213745542859765,-4.4275076628456205,0.9490722966678533,,0.3473052172291767,
2007-04-30,log_density,5747,0,7.312209314440629,7.462992077856448,-4.155725718601447,0.9651577560530912,,0.3436422502320862,
2007-04-30,unweighted,5747,0,7.274490091170848,7.362923390128543,-4.056739329382635,0.9517437613582305,,0.33804921539606203,
2007-04-30,1_over_t,5747,0,7.639084510166461,7.598872440726652,-4.4017800590370415,0.9492013613824252,,0.3468864481309091,
2007-05-07,log_density,5747,0,7.291672505570586,7.436382449857263,-4.128424051636553,0.9652320621173913,,0.34325190730093913,
2007-05-07,unweighted,5747,0,7.257532032512147,7.3464279051535435,-4.032948821033737,0.9518577345533302,,0.33764977144152813,
2007-05-07,1_over_t,5747,0,7.62053608491413,7.577808572695359,-4.37603833205264,0.9493308311615807,,0.3464660035444874,
2007-05-14,log_density,5747,0,7.271235888898146,7.4263774017611865,-4.10121699844714,0.9653035498143002,,0.3428580424387731,
2007-05-14,unweighted,5747,0,7.240555994458004,7.353457212949685,-4.00915313073982,0.9519718694333708,,0.33724928671151333,
2007-05-14,1_over_t,5747,0,7.601957880116359,7.553609337315436,-4.350282254313698,0.9494607069979958,,0.34604387881345955,
2007-05-21,log_density,5747,0,7.879799066044461,7.858843970815261,-4.771397483227853,0.9743932541613519,,0.3864061284618927,
2007-05-21,unweighted,5747,0,7.223561787727369,7.3277556200437175,-3.9853521203575064,0.9520861630432933,,0.3368477678812715,
2007-05-21,1_over_t,5747,0,7.5833495563548565,7.546809491091324,-4.3245115944315815,0.9495909898581502,,0.34562006948843615,
2007-05-28,log_density,5747,0,7.893225792072186,7.884883155154633,-4.781277162085423,0.9737462763288566,,0.38982143170373035,
2007-05-28,unweighted,5747,0,7.206549220032199,7.318940558359152,-3.961545649345894,0.9522006123228773,,0.3364452220184477,
2007-05-28,1_over_t,5747,0,7.56471076842721,7.541217757053225,-4.298726117123446,0.9497216806810319,,0.3451945713389914,
2007-06-04,log_density,5747,0,7.884210260058937,7.80460892796782,-4.766070313523317,0.9734898331202729,,0.3906644517625487,
2007-06-04,unweighted,5747,0,7.1895180960124945,7.2933024304457845,-3.9377335747133637,0.9523152141034862,,0.33604165659710256,
2007-06-04,1_over_t,5747,0,7.546041165214092,7.511779651853097,-4.272925583126259,0.9498527803767906,,0.34476738036623616,
2007-06-11,log_density,5747,0,7.86954532586751,7.786610782564807,-4.74459738830033,0.9732926742287921,,0.3908566310394811,
2007-06-11,unweighted,5747,0,7.172468217169014,7.291267621390482,-3.913915750962864,0.9524299651047031,,0.3356370795122479,
2007-06-11,1_over_t,5747,0,7.527340389541749,7.494029952256554,-4.247109749107912,0.9499842898253328,,0.34433849281592777,
2007-06-18,log_density,5747,0,7.846179182691965,7.774914205630207,-4.7135211681085005,0.9732735791006835,,0.3900340942475875,
2007-06-18,unweighted,5747,0,7.155399381794459,7.279587132522167,-3.890092030035757,0.9525448619308506,,0.33523149909491307,
2007-06-18,1_over_t,5747,0,7.508608078040215,7.482840017578312,-4.221278367575606,0.9501162098748621,,0.34390790519219355,
2007-06-25,log_density,5747,0,7.825866968307195,7.747209164453011,-4.685745488431678,0.9731752975375895,,0.38953605895099724,
2007-06-25,unweighted,5747,0,7.138311384902461,7.255402261293746,-3.866262261253961,0.9526599010673895,,0.3348249241277625,
2007-06-25,1_over_t,5747,0,7.489843860998092,7.469075528757628,-4.195431186782547,0.950248541340357,,0.34347561427193174,
2007-07-02,log_density,5747,0,7.8078635842481745,7.709972945341065,-4.660452757465165,0.9730140585968918,,0.3892808239217759,
