date,monthly_return
2003-10-01,-0.009348249686104815
2003-11-01,-0.00019605745718931367
2003-12-01,0.007783587486671406
2004-01-01,0.00997079071011453
2004-02-01,0.008674694107337011
2004-03-01,0.007173956483649047
2004-04-01,-0.028184957665819077
2004-05-01,-0.0039589226451230974
2004-06-01,0.006790673379176937
2004-07-01,0.009264277575691038
2004-08-01,0.01615454524255977
2004-09-01,0.005249608143427897
2004-10-01,0.008683019906658318
2004-11-01,-0.0070087701360694865
2004-12-01,0.004672621811336208
2005-01-01,0.010916094130471343
2005-02-01,-0.006705613780146669
2005-03-01,-0.009548299305602859
2005-04-01,0.016625943076341354
2005-05-01,0.00841162299298448
2005-06-01,0.008640706792145902
2005-07-01,-0.010192243732074169
2005-08-01,0.011789983490474665
2005-09-01,-0.00942354232553444
2005-10-01,-0.009923434509160556
2005-11-01,0.003429684989088466
2005-12-01,0.007351284807074254
2006-01-01,0.007020302965828895
2006-02-01,-0.002088823778860327
2006-03-01,-0.008702068875410474
2006-04-01,-0.001637055900767237
2006-05-01,-0.0019253211103760215
2006-06-01,-0.0017136032615833185
2006-07-01,0.013814861768298048
2006-08-01,0.01573131643586212
2006-09-01,0.010326925227474915
2006-10-01,0.006671059685022351
2006-11-01,0.010549101880749978
2006-12-01,-0.009392072241161453
2007-01-01,0.006946103076507004
2007-02-01,0.01224529155724463
2007-03-01,-0.0019127007498909165
2007-04-01,0.005923802249024224
2007-05-01,-0.009095072049713271
2007-06-01,-0.004282009125588737
2007-07-01,0.010768229384438666
2007-08-01,0.012718865958421866
2007-09-01,0.006385967825746963
2007-10-01,0.010240370546473754
2007-11-01,0.01802950138342685
2007-12-01,-0.004009655366058351
2008-01-01,0.031427605605404585
2008-02-01,-0.0056035403270566775
2008-03-01,0.0015882649525886805
2008-04-01,0.002952391882582228
2008-05-01,-0.011795419878514624
2008-06-01,-0.002575500494920502
2008-07-01,0.00401743241243091
2008-08-01,0.007238030171232479
2008-09-01,-0.017506197072829854
2008-10-01,-0.022853239406498527
2008-11-01,0.030022100971913046
2008-12-01,0.06283464676722694
2009-01-01,-0.012253304365477447
2009-02-01,-0.01410000663499622
2009-03-01,0.011371532562892028
2009-04-01,0.004939092509958609
2009-05-01,0.007321364423604759
2009-06-01,0.004426987037567498
2009-07-01,0.012355966497635595
2009-08-01,0.012312189951360963
2009-09-01,0.0119315185837785
2009-10-01,0.002149319837914998
2009-11-01,0.013034448590331538
2009-12-01,-0.021921755685757383
2010-01-01,0.02052701721311312
2010-02-01,-0.0011464642374983125
2010-03-01,-3.240440699936453e-05
2010-04-01,0.009742362875392319
2010-05-01,0.010931623289981207
2010-06-01,0.017595005931297925
2010-07-01,0.00868606449679854
2010-08-01,0.01307279757802604
2010-09-01,6.38630155576081e-05
2010-10-01,0.0018200875838270125
2010-11-01,-0.008451966587512016
2010-12-01,-0.01257741228236875
2011-01-01,0.007603552056106633
2011-02-01,-9.441040212720964e-05
2011-03-01,-0.0019378336672211116
2011-04-01,0.015390810616669137
2011-05-01,0.012407808764837158
2011-06-01,-0.004396968284569591
2011-07-01,0.016931424769680792
2011-08-01,0.015281696682452495
2011-09-01,0.008367645669204116
2011-10-01,0.0013950779163127702
2011-11-01,-0.003926543935135252
2011-12-01,0.010590024313374524
2012-01-01,0.012865360360117206
2012-02-01,-0.0026117445669581185
2012-03-01,-0.005753324583218866
2012-04-01,0.009351284777764146
2012-05-01,0.01091712727602534
2012-06-01,-0.00025175718367365096
2012-07-01,0.013752643420466892
2012-08-01,4.901427874171027e-05
2012-09-01,0.0026717354095808776
2012-10-01,-0.00036377447546720454
2012-11-01,0.0023798197854230096
2012-12-01,-0.008274665304906281
2013-01-01,0.0017923853285111147
2013-02-01,0.0039865908348575285
2013-03-01,0.0010103212398986372
2013-04-01,0.00921885397520561
2013-05-01,-0.01948334620107328
2013-06-01,-0.015631000401207573
2013-07-01,0.0026310528233910446
2013-08-01,-0.008326579028962944
2013-09-01,0.011253034059557132
2013-10-01,0.008409511797360825
2013-11-01,-0.0024860835517197533
2013-12-01,-0.00765298835507966
2014-01-01,0.019337990656036474
2014-02-01,0.0018506360053716087
2014-03-01,-0.001421380705513009
2014-04-01,0.00816406379021406
2014-05-01,0.011868207291150679
2014-06-01,-0.0006402530267664019
2014-07-01,-0.0024134467748173627
2014-08-01,0.011451516423897967
2014-09-01,-0.006085211251166567
2014-10-01,0.010681892998355647
2014-11-01,0.006557806515731235
2014-12-01,-0.0026905962281332796
2015-01-01,0.026576985717421397
2015-02-01,-0.01049943243699214
2015-03-01,0.00364028791165083
2015-04-01,-0.0034483065420047865
2015-05-01,-0.004338992331898717
2015-06-01,-0.01077865073003903
2015-07-01,0.008504557877997199
2015-08-01,-0.003317278582585459
2015-09-01,0.008019586462097106
2015-10-01,0.0008542792662871168
2015-11-01,-0.003984878745978748
2015-12-01,-0.00539802878418949
2016-01-01,0.01794947228720667
2016-02-01,0.0067671380610658804
2016-03-01,0.008825274657749738
2016-04-01,0.002553501669167124
2016-05-01,0.0002907175763984249
2016-06-01,0.019228379133124696
2016-07-01,0.005531876553661164
2016-08-01,-0.0021031548029670777
2016-09-01,0.0004996622825446106
2016-10-01,-0.008129787423109103
2016-11-01,-0.025733478129683296
2016-12-01,0.00022425152843541518
2017-01-01,0.00634830516778373
2017-02-01,0.004432968093923906
2017-03-01,-0.0005626704220345058
2017-04-01,0.009045720820954228
2017-05-01,0.006728282570064303
2017-06-01,-8.985279682460767e-05
2017-07-01,0.003381126930356304
2017-08-01,0.009369945666920954
2017-09-01,-0.005700910939208326
2017-10-01,0.00098939553201971
2017-11-01,-0.001494678105867897
2017-12-01,0.004383804984044337
2018-01-01,-0.008823888312629036
2018-02-01,-0.012303150176632305
2018-03-01,0.006749576374524002
2018-04-01,-0.009474775426493998
2018-05-01,0.006620289162471593
2018-06-01,0.0009513016287938658
2018-07-01,-0.00010707692219247278
2018-08-01,0.005466269313642469
2018-09-01,-0.006011524292214077
2018-10-01,-0.00664772538807612
2018-11-01,0.005172839421266007
2018-12-01,0.020355756472025366
2019-01-01,0.013542236308609068
2019-02-01,-0.0036292934146748834
2019-03-01,0.02122610744727993
2019-04-01,-0.0019114324570163044
2019-05-01,0.01911621482574466
2019-06-01,0.011025554177377606
2019-07-01,0.0019105061198174678
2019-08-01,0.027752932326082336
2019-09-01,-0.006089802059821348
2019-10-01,0.0021323826525025957
2019-11-01,-0.00031009615657595635
2019-12-01,-0.002128099621156454
2020-01-01,0.024260262507680874
2020-02-01,0.013693219954837632
2020-03-01,-0.005204932010414054
2020-04-01,0.01708674295657664
2020-05-01,0.006870064221478067
2020-06-01,0.006788672799900253
2020-07-01,0.013263452122839636
2020-08-01,-0.008081547468607675
2020-09-01,-0.0008894389006449677
2020-10-01,-0.005646593160537283
2020-11-01,0.01214149464896841
2020-12-01,-0.0003046199790210924
2021-01-01,-0.004661304769329688
2021-02-01,-0.016793272030962036
2021-03-01,-0.011473535435720827
2021-04-01,0.007457324222167827
2021-05-01,0.0020384357734932745
2021-06-01,0.008332784546832395
2021-07-01,0.01127256510314445
2021-08-01,-0.0020849943697410778
2021-09-01,-0.009177203156916502
2021-10-01,-0.00021621224997048216
2021-11-01,0.0027057325986925562
2021-12-01,-0.00444879419279498
2022-01-01,-0.01759507382229819
2022-02-01,-0.012880377173302926
2022-03-01,-0.028139897575340633
2022-04-01,-0.03809249014321814
2022-05-01,0.007337173900318961
2022-06-01,-0.015567490565220998
2022-07-01,0.02534854462723679
2022-08-01,-0.030512734580256606
2022-09-01,-0.04154964199637312
2022-10-01,-0.012947954894008018
2022-11-01,0.03799504792884445
2022-12-01,-0.010974952927305548
2023-01-01,0.03803696278468638
2023-02-01,-0.02903598828761167
2023-03-01,0.026453462637265446
2023-04-01,0.005629476328261385
2023-05-01,-0.011405266729991426
2023-06-01,-0.0038081693692889607
2023-07-01,-0.00013949096434950903
2023-08-01,-0.0064226690169228995
2023-09-01,-0.025869541789487527
2023-10-01,-0.015752666364801438
2023-11-01,0.0456483045800018
2023-12-01,0.034164860556046284
2024-01-01,0.004216652764245099
2024-02-01,-0.01765912243490453
2024-03-01,0.009044119092689318
2024-04-01,-0.02480484858463461
2024-05-01,0.016555857205774904
2024-06-01,0.008823449332085342
2024-07-01,0.024220478848165472
2024-08-01,0.014648534401328295
2024-09-01,0.013282754007603037
2024-10-01,-0.025108458384386134
2024-11-01,0.010989945402312129
2024-12-01,-0.020098876026118928
2025-01-01,0.011592765928297943
2025-02-01,0.018993583628760025
2025-03-01,-1.8986538785403795e-05
2025-04-01,0.004086688711314901
2025-05-01,-0.006025679105805648
2025-06-01,0.014501964335002393
2025-07-01,-0.0025627097914711072
2025-08-01,0.011771098611440323
2025-09-01,0.011327159096501171
2025-10-01,0.006200870459053709
2025-11-01,0.0060463625647955155
2025-12-01,-0.006090932681180994
2026-01-01,0.009114776181099904
2026-02-01,0.012683583376664975
2026-03-01,-0.021893526699952814
